Month,Monthly_Sales
2014-01,2815
2014-02,2672
2014-03,2755
2014-04,2721
2014-05,2946
2014-06,3036
2014-07,2282
2014-08,2212
2014-09,2922
2014-10,4301
2014-11,5764
2014-12,7312
2015-01,2541
2015-02,2475
2015-03,3031
2015-04,3266
2015-05,3776
2015-06,3230
2015-07,3028
2015-08,1759
2015-09,3595
2015-10,4474
2015-11,6838
2015-12,8357
2016-01,3113
2016-02,3006
2016-03,4047
2016-04,3523
2016-05,3937
2016-06,3986
2016-07,3260
2016-08,1573
2016-09,3528
2016-10,5211
2016-11,7614
2016-12,9254
2017-01,5375
2017-02,3088
2017-03,3718
2017-04,4514
2017-05,4520
2017-06,4539
2017-07,3663
2017-08,1643
2017-09,4739
2017-10,5428
2017-11,8314
2017-12,10651
2018-01,3633
2018-02,4292
2018-03,4154
2018-04,4121
2018-05,4647
2018-06,4753
2018-07,3965
2018-08,1723
2018-09,5048
2018-10,6922
2018-11,9858
2018-12,11331
2019-01,4016
2019-02,3957
2019-03,4510
2019-04,4276
2019-05,4968
2019-06,4677
2019-07,3523
2019-08,1821
2019-09,5222
2019-10,6872
2019-11,10803
2019-12,13916
2020-01,2639
2020-02,2899
2020-03,3370
2020-04,3740
2020-05,2927
2020-06,3986
2020-07,4217
2020-08,1738
2020-09,5221
2020-10,6424
2020-11,9842
2020-12,13076
2021-01,3934
2021-02,3162
2021-03,4286
2021-04,4676
2021-05,5010
2021-06,4874
2021-07,4633
2021-08,1659
2021-09,5951
2021-10,6981
2021-11,9851
2021-12,12670
2022-01,4348
2022-02,3564
2022-03,4577
2022-04,4788
2022-05,4618
2022-06,5312
2022-07,4298
2022-08,1413
2022-09,5877
2022-10,
2022-11,
2022-12,
2023-01,
2023-02,
2023-03,
2023-04,
2023-05,
2023-06,
2023-07,
2023-08,
2023-09,
2023-10,
2023-11,
2023-12,
2024-01,
2024-02,
2024-03,
2024-04,
2024-05,
2024-06,
2024-07,
2024-08,
2024-09,
2024-10,
2024-11,
2024-12,
2025-01,
2025-02,
2025-03,
2025-04,
2025-05,
2025-06,
2025-07,
2025-08,
2025-09,
2025-10,
2025-11,
2025-12,
2026-01,
2026-02,
2026-03,
2026-04,
2026-05,
2026-06,
2026-07,
2026-08,
2026-09,
2026-10,
2026-11,
2026-12,
2027-01,
2027-02,
2027-03,
2027-04,
2027-05,
2027-06,
2027-07,
2027-08,
2027-09,
2027-10,
2027-11,
2027-12,
2028-01,
2028-02,
2028-03,
2028-04,
2028-05,
2028-06,
2028-07,
2028-08,
2028-09,
2028-10,
2028-11,
2028-12,
2029-01,
2029-02,
2029-03,
2029-04,
2029-05,
2029-06,
2029-07,
2029-08,
2029-09,
2029-10,
2029-11,
2029-12,
2030-01,
2030-02,
2030-03,
2030-04,
2030-05,
2030-06,
2030-07,
2030-08,
2030-09,
2030-10,
2030-11,
2030-12,
2031-01,
2031-02,
2031-03,
2031-04,
2031-05,
2031-06,
2031-07,
2031-08,
2031-09,
2031-10,
2031-11,
2031-12,
2032-01,
2032-02,
2032-03,
2032-04,
2032-05,
2032-06,
2032-07,
2032-08,
2032-09,
2032-10,
2032-11,
2032-12,
2033-01,
2033-02,
2033-03,
2033-04,
2033-05,
2033-06,
2033-07,
2033-08,
2033-09,
2033-10,
2033-11,
2033-12,
2035-01,
2035-02,
2035-03,
2035-04,
2035-05,
2035-06,
2035-07,
2035-08,
2035-09,
2035-10,
2035-11,
2035-12,
2036-01,
2036-02,
2036-03,
2036-04,
2036-05,
2036-06,
2036-07,
2036-08,
2036-09,
2036-10,
2036-11,
2036-12,
